Subscribed	Location	Company
22/07/2025 13:38	United Kingdom	University of Bologna
22/07/2025 13:16	United Kingdom	HPI
22/07/2025 12:57	United States	NCI
22/07/2025 12:47	United Kingdom	UniversitÃ© de Sherbrooke
22/07/2025 12:40	United Kingdom	University of Warsaw
22/07/2025 12:39	United Kingdom	UNAM
22/07/2025 12:36	United Kingdom	University of pava
22/07/2025 12:17	United Kingdom	University of Southampton
22/07/2025 12:11	United Kingdom	University of Sherbrooke
22/07/2025 11:21	United Kingdom	Ebi
22/07/2025 11:17	United Kingdom	HIPS
22/07/2025 10:48	France	Landmark university Nigeria
22/07/2025 10:41	United Kingdom	University of Galway
22/07/2025 10:31	United Kingdom	CNAG, spain
22/07/2025 10:30	United Kingdom	UCL
22/07/2025 10:21	United Kingdom	Ipt
22/07/2025 10:01	United Kingdom	Beiersdorf AG
22/07/2025 09:52	United Kingdom	Astex Pharmaceuticals
22/07/2025 09:50	United Kingdom	Open Targets Embl-EBI
22/07/2025 09:39	Germany	LMU Munich
22/07/2025 09:38	United Kingdom	Universidade Federal Rural da Amazonia
22/07/2025 09:32	United Kingdom	University of Hamburg
22/07/2025 09:25	United Kingdom	University of Southampton
22/07/2025 09:22	United States	NIAID
22/07/2025 09:17	United Kingdom	University of Tuebingen
22/07/2025 09:11	United Kingdom	AstraZeneca
21/07/2025 17:04	United Kingdom	rwth aachen
21/07/2025 16:58	United Kingdom	UoL
21/07/2025 16:37	United Kingdom	The Alan Turing Institute
21/07/2025 16:12	United Kingdom	Hpi
21/07/2025 15:53	United Kingdom	Ebi
21/07/2025 15:31	United Kingdom	Saarland University
21/07/2025 15:23	United Kingdom	Queen's University Belfast
21/07/2025 15:18	United Kingdom	The Hebrew university of jerusalem
21/07/2025 15:00	United Kingdom	Curevac
21/07/2025 14:57	United Kingdom	Technical University of Munich
21/07/2025 14:55	United Kingdom	University clinics TÃ¼bingen
21/07/2025 14:14	United Kingdom	Qmul
21/07/2025 12:59	United Kingdom	Statens Serum Institute
21/07/2025 12:54	United Kingdom	Queens University Belfast
21/07/2025 12:52	Ireland	Almac
21/07/2025 12:40	United Kingdom	IBM
21/07/2025 12:34	United Kingdom	Ufscar
21/07/2025 12:33	United Kingdom	INCA
21/07/2025 12:31	Brazil	CERI, Stellenbosch University
21/07/2025 12:00	United Kingdom	NIH
21/07/2025 11:44	United Kingdom	Eth
21/07/2025 11:41	United Kingdom	Area science park
21/07/2025 11:27	United Kingdom	Astra Zeneca
21/07/2025 11:24	United Kingdom	Thsti
21/07/2025 11:20	United Kingdom	University of Bergen
21/07/2025 11:19	United Kingdom	EMBL-EBI
21/07/2025 11:17	United Kingdom	Mpi
21/07/2025 10:53	United Kingdom	Xjtu
21/07/2025 10:41	United Kingdom	Genomics of gene expression lab
21/07/2025 10:30	United Kingdom	Hochschule Campus Wien
21/07/2025 10:14	United Kingdom	Parse Biosciences
21/07/2025 10:12	United Kingdom	University of Padova
21/07/2025 10:02	United Kingdom	University of Delhi
21/07/2025 09:57	United Kingdom	University of Manchester
21/07/2025 09:47	United Kingdom	Southampton
21/07/2025 09:42	Australia	UNSW
21/07/2025 09:42	United Kingdom	
21/07/2025 09:41	United Kingdom	UNSW
21/07/2025 09:38	United Kingdom	Unsw
21/07/2025 09:37	United Kingdom	Imdea
21/07/2025 09:35	United Kingdom	DKFZ
21/07/2025 09:33	United Kingdom	IIT madras
21/07/2025 09:32	United Kingdom	IIT M
21/07/2025 09:31	United Kingdom	Iitb
21/07/2025 09:26	United Kingdom	University of Salerno
21/07/2025 09:24	United Kingdom	Warsaw University of Technology
21/07/2025 09:24	United Kingdom	University of Bristol
21/07/2025 09:22	United Kingdom	ASBCB
21/07/2025 09:11	United Kingdom	EMBL-EBI
21/07/2025 08:58	United Kingdom	University of Birmingham
21/07/2025 08:40	United Arab Emirates	MBZUAI
21/07/2025 08:24	United Kingdom	FIMM
20/07/2025 15:34	United Kingdom	
20/07/2025 15:29	United Kingdom	
20/07/2025 15:20	United Kingdom	
20/07/2025 15:18	United Kingdom	University of Regensburg, Germany
30/06/2025 10:45	Ireland	UK Dementia Research Institute
30/06/2025 10:42	United Kingdom	Copperfern Consulting
24/06/2025 09:11	United Kingdom	University of Warwick
16/06/2025 16:48	United Kingdom	King's College London
16/06/2025 14:59	United Kingdom	University of Exeter
16/06/2025 14:57	United Kingdom	UKRI - Medical Research Council
16/06/2025 14:56	United Kingdom	University of Exeter
16/06/2025 14:56	United Kingdom	University of Edinburgh
16/06/2025 14:34	United Kingdom	Exeter University
16/06/2025 14:31	United Kingdom	University of Manchester
16/06/2025 13:52	United Kingdom	
16/06/2025 12:24	United Kingdom	University of Exeter
16/06/2025 12:21	United Kingdom	University of Exeter
16/06/2025 12:13	United Kingdom	Milner Institute
